"source_commit","source_path","destination_path","source_sha256","destination_sha256","disposition","rationale"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca",".github/workflows/quality.yml",".github/workflows/quality.yml","f7b9682e2a03099905f32fbbde91563c36662cd23a5337c66e63ca8a291eddf3","358354eea1e28364074bf19b5ce91e7ba2957d1ec63bd6e30aa604ac47472075","rewrite","standalone path or repository boundary rewrite"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca",".gitignore",".gitignore","8db3fec917173a1c24d1c0778c57097177452d82b6030ab08ac0ddfd6ddc87b7","da00918ccfc24094212aacbea9c528fe5b285041944967f1561d9e6010fe9ca1","rewrite","standalone path or repository boundary rewrite"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","AGENTS.md","AGENTS.md","16249c580095568818e7fdcd2a0bf759c7e4301113f49ea16340f1b206890415","52b617160a5592ce66cd08cf51414c295fc71c1191a62085c6a3ce4e7af6c22d","rewrite","standalone path or repository boundary rewrite"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","README.md","README.md","bbfd0bc2e7a49a3b620c2d5dbca0bbaf948428a366970e8102119d79d78f4ffb","6300b1ea8a435fe1578fb3b0e8c6556b1d3b3bb2624874c466d64e74d9fb385a","rewrite","standalone path or repository boundary rewrite"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","agent-service/contracts/logical-delete/types.go","contracts/logical-delete/types.go","50a4bc02c14bb6313a6459e4382c3de01a6230321e50a41a7fe100497ce0f455","1dee0db7585fb6f27dfca95732b0cf0a8272b92b227b9de1fdb2779866462fb2","rewrite","localized logical-delete DTO dependency"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","agent-service/contracts/logical-delete/types_test.go","contracts/logical-delete/types_test.go","d6ec0a30062ada53e0cd3a9e32e66a02bd74acb379588d0d089086ba6fe5b213","e62386d32b5a5f1e988ddbf9babf951146036768f139fbced30e94dc2659bc70","rewrite","localized logical-delete DTO dependency"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/Makefile","Makefile","38b1f114141f92a32cd48d000c76b129b18a2c067cccf19ccb1e0889fdabe052","51cf3e98d0bef46f239fc2b318f10dda9f71abee9816be7ce96bd7fbdf4dad9e","rewrite","standalone path or repository boundary rewrite"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/README.md","","fa880abdfba0af438003edb5f70fc241288af472c52f5d0d95a8f490d78ad8f9","","exclude","replaced by standalone repository README"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/adapter.go","","f4b302f5fbb968c6aabeaa9486826ee942a3547a0ae4851a30b59433d04b7314","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/adapter_test.go","","5f2b527f47bf4b540839e2f60ee132676bf9dc23abdeda434d6604a8161c4d48","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/bridge.go","","f6cb4be751d5a9da0f28088a5093709df098997ada1ecbe10411797d8b08f7c3","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/bridge_test.go","","c8c5f30e147234f327253ff12bd5d1f385813ae45823490faa3d1950678a8b70","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/events.go","","f126e7d2b91ca2d93e5081da532d4390ac77a45209668aa89e368cfdbd5a2263","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/protocol.go","","77877b398beec82a4ce39de5e393d077042ec8ca2e04091711bc2fc17cd8f5c5","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/runtime/package-lock.json","","2dd9c5bd03db0b8c19359f247952fdd1d42e45a95ef58fe86b05f2ff00b680ab","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/runtime/package.json","","63ffecd4476e4feb2a8696815e3161a4103f5356003c7676d95adb13bb4ed0d9","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/session.go","","3576cd11b14a1cfd6b8fdda3888d9b370537bba93f291798166311a349eea083","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/session_test.go","","c7f353e58008e90cc7fc9cdc1dd721ba6cb69e5377f348030bc159f9fc3406d0","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/store.go","","ad21442bd9253ec88b93ed1a7997ffef6eb96b06a37d30a603f4e42e8af0c6be","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/store_test.go","","fae3d7be17148d614ef49f8cacc8f5d511410990bf309e1ead9495ede33261ad","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/stream.go","","1310ad43fc08acfd08abf02c5d89a2e681bb1c92cbfd8c78199228a086184872","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/codex/stream_test.go","","0d7b6f7de640a857a5ab99c5ff531547140fd07fe5dad076478a80958147ae57","","exclude","Codex provider is outside this repository"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/contract/adapter.go","adapters/contract/adapter.go","45874a34d7f285a5c8bd1c9d16ac21e5a1cd075f4860e160f2f6f45f6689d532","538550182b247566f953db2279fbd658762e895e0084f12212172e0c81e4bb37","rewrite","Cursor Harness dependency closure"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/contract/adapter_test.go","adapters/contract/adapter_test.go","703537344997ccc0417990996500d68e4d409b601b19f0a500b8ffe9bd2798af","515a571eeb6bb6e751ea9e2c9dbc6fded97a9b7b084dc558c9ffda51d75a7a39","rewrite","Cursor Harness dependency closure"
"d5edfb20f358bb0ce243d07840b49da8566ab0ca","harness/adapters/cursor/adapter.go","adapters/cursor/adapter.go","6440745f0f91da3e975e9e5d32fa49a2af095678e6f4ec89a2dc1df764479655","97255d9008eacb2638913076689a2aad4f19358e246c6ba884d24b22da002d76","rewrite","Cursor Harness dependency closure"
